,store_id,n_cust,mae_ncust,percentage_error
0,1,509.1694214876033,117.64,0.23104293980636104
1,2,544.7809917355372,119.39,0.21915228653564628
2,3,943.6632231404959,136.59,0.14474443493244413
3,4,1224.969008264463,229.89,0.18767005405770087
4,5,438.68388429752065,154.94,0.3531928241405783
5,6,809.3657024793389,140.94,0.1741363632882601
6,7,1235.8780991735537,225.86,0.18275265186027267
7,8,548.3719008264463,104.31,0.19021762392054614
8,9,531.452479338843,94.99,0.17873658265396172
9,10,554.5454545454545,112.58,0.20301311475409836
10,11,1420.2747933884298,233.48,0.16439072289875226
11,12,1134.2520661157025,188.21,0.1659331339325073
12,13,475.3317757009346,254.21,0.5348053990818021
13,14,789.0041322314049,75.59,0.095804314466924
14,15,623.0929752066115,83.04,0.133270640665568
15,16,1075.9152892561983,226.64,0.21064855408522054
16,17,1010.3305785123966,273.37,0.27057480572597137
17,18,657.0743801652893,65.0,0.09892335169672728
18,19,225.3181818181818,67.92,0.301440387331047
19,20,305.0210280373832,57.6,0.18883943959739255
20,21,476.48553719008265,172.03,0.36103928991106543
21,22,627.9088785046729,201.49,0.3208905095908761
22,23,447.301652892562,167.5,0.37446765268321525
23,24,1045.6219008264463,160.14,0.15315287473744318
24,25,568.3285123966942,95.84,0.1686348615448375
25,26,420.95661157024796,124.85,0.29658638578994123
26,27,1347.4462809917356,360.76,0.2677360909219153
27,28,736.654958677686,135.17,0.18349160405114698
28,29,476.61570247933884,113.79,0.23874580591463576
29,30,649.5351239669421,121.59,0.1871954194831014
30,31,741.0909090909091,137.0,0.18486261040235524
31,32,396.4906542056075,208.59,0.526090584450023
32,33,302.17148760330576,40.14,0.13283847631811066
33,34,1260.1136363636363,280.43,0.22254342140860314
34,35,933.3946280991736,117.13,0.1254881873902909
35,36,922.5467289719626,231.76,0.2512176269469419
36,37,717.8119834710744,161.74,0.2253236275297118
37,38,452.71487603305786,175.36,0.3873519720328231
38,39,596.0764462809917,98.0,0.16440844225843237
39,40,603.9090909090909,91.32,0.1512148125846756
40,41,505.0514018691589,254.41,0.5037309055245602
41,42,1018.0206611570248,193.01,0.18959340155300552
42,43,573.6632231404959,81.7,0.1424180541899421
43,44,549.2169421487604,88.25,0.16068331696893773
44,45,522.8780991735537,249.33,0.4768415437442952
45,46,239.20560747663552,51.13,0.2137491697597187
46,47,1155.2231404958677,220.05,0.1904826801734129
47,48,400.8223140495868,247.48,0.6174306951618057
48,49,491.7086776859504,165.41,0.33639837470113915
49,50,334.49793388429754,205.67,0.6148617948448705
50,51,627.6378504672897,253.42,0.4037678731633591
51,52,620.6401869158879,247.83,0.3993134914958176
52,53,478.8780991735537,150.69,0.31467298308287706
53,54,682.4566115702479,120.38,0.17639216612323613
54,55,507.26446280991735,144.79,0.2854329656722983
55,56,184.05785123966942,125.12,0.6797862691392395
56,57,1229.3822314049587,253.86,0.20649395567551398
57,58,650.9439252336449,220.47,0.33869276823017613
58,59,709.2376033057851,208.05,0.29334316036018193
59,60,893.1095041322315,191.15,0.21402750627508588
60,61,708.2541322314049,121.3,0.17126620866698755
61,62,897.8078512396694,138.95,0.15476585530872947
62,63,807.4028925619834,126.77,0.157009593559597
63,64,996.1714876033058,137.94,0.13847013462699134
64,65,581.1921487603306,201.96,0.347492650117136
65,66,491.849173553719,152.86,0.3107863308899204
66,67,738.7045454545455,150.12,0.20322062578838876
67,68,1448.8739669421489,205.18,0.14161342165118251
68,69,1495.6095041322315,267.13,0.17860945605249523
69,70,629.6900826446281,59.1,0.09385569445811597
70,71,545.8884297520661,66.85,0.12246092123689488
71,72,441.6238317757009,195.31,0.44225421262862735
72,73,617.8946280991736,279.94,0.4530545942132207
73,74,713.3698347107438,150.54,0.21102658491445847
74,75,827.1384297520661,144.15,0.17427554423170594
75,76,771.4065420560747,250.52,0.32475742211399256
76,77,826.9938016528926,103.0,0.12454748728967059
77,78,411.49380165289256,167.38,0.40676189854541256
78,79,701.1198347107438,134.73,0.1921640115281928
79,80,535.1012396694215,121.67,0.22737753340875483
80,81,700.518691588785,203.52,0.2905275796972871
81,82,1053.8553719008264,237.7,0.22555277160210638
82,83,436.3057851239669,207.44,0.47544636599549184
83,84,1168.202479338843,279.82,0.23953039387347233
84,85,1612.0578512396694,402.55,0.24971188204594508
85,86,562.1776859504132,114.31,0.2033342888854587
86,87,947.6797520661157,165.73,0.17487975198233177
87,88,521.6632231404959,97.78,0.18743893696655245
88,89,567.6915887850467,74.92,0.13197306685544014
89,90,895.0640495867768,210.81,0.23552504437791286
90,91,766.2623966942149,185.33,0.2418623187038081
91,92,197.3987603305785,93.89,0.47563621900545316
92,93,403.78512396694214,152.55,0.3777999508780548
93,94,806.4132231404959,90.96,0.11279576945150445
94,95,306.8863636363636,67.3,0.21929941494482708
95,96,455.7107438016529,155.45,0.34111550389002737
96,97,869.7541322314049,118.78,0.1365673304652925
97,98,573.9297520661157,221.63,0.3861622423339165
98,99,334.2803738317757,221.42,0.6623781033325877
99,100,559.3878504672897,78.99,0.14120792922837883
100,101,650.4648760330579,82.89,0.12743193837846423
101,102,878.6198347107438,234.99,0.2674535569497616
102,103,398.2582644628099,246.44,0.6187944406688214
103,104,1239.8657024793388,194.33,0.15673471700314118
104,105,352.3264462809917,170.79,0.4847493050913057
105,106,1027.1611570247933,176.7,0.17202753315927313
106,107,344.26446280991735,54.58,0.15854090647205685
107,108,1074.8247663551401,245.95,0.22882799847834356
108,109,685.8326446280992,88.19,0.12858822147175872
109,110,761.150826446281,157.16,0.20647681712934685
110,111,514.3264462809917,106.04,0.20617255979496577
111,112,960.603305785124,138.86,0.14455498868651762
112,113,851.5747663551402,162.08,0.19032973545438084
113,114,453.89462809917353,97.2,0.2141466190226916
114,115,467.8317757009346,126.35,0.27007571217387827
115,116,959.9545454545455,150.85,0.15714285714285714
116,117,614.1260330578513,270.36,0.44023536773685645
