,store_id,revenue,mae_rev,percentage_error
0,1,4314.334710743801,1583.73,0.3670855661838442
1,2,4545.464876033057,1485.58,0.3268268572116882
2,3,8738.128099173553,1090.92,0.12484596101345535
3,4,8950.871900826447,1434.68,0.16028382663676977
4,5,3760.5785123966944,1350.31,0.35906975364261695
5,6,6971.576446280992,1765.09,0.25318376892239236
6,7,11336.431818181818,2513.26,0.22169762411212446
7,8,4602.051652892562,1330.58,0.2891275675195172
8,9,5997.309917355372,826.97,0.1378901559859138
9,10,5198.923553719008,1218.64,0.2344023695305648
10,11,9935.177685950413,1928.07,0.1940649740695159
11,12,9523.613636363636,1208.45,0.12688985989370918
12,13,6235.259345794392,2132.47,0.34200181287380216
13,14,6904.828512396694,943.2,0.13660006158105314
14,15,6241.448347107438,946.89,0.15170997937343028
15,16,9683.95867768595,1643.46,0.16970952217990218
16,17,7960.365702479339,1830.76,0.2299844088104885
17,18,5995.363636363636,715.22,0.11929551623224008
18,19,2340.3285123966944,503.87,0.21529883404445407
19,20,2785.6168224299067,555.98,0.19958954710612928
20,21,5040.572314049587,1245.84,0.24716240981752613
21,22,5576.558411214954,1671.52,0.29974042711332943
22,23,5096.417355371901,919.93,0.18050523256898177
23,24,11738.398760330578,1492.74,0.12716725939185605
24,25,4036.03305785124,755.93,0.1872952944549103
25,26,5005.824380165289,736.51,0.14713061107742675
26,27,11860.971074380166,3116.22,0.26272890983867847
27,28,6689.138429752066,1531.3,0.22892335329600255
28,29,5372.365702479339,977.84,0.18201292580449768
29,30,4450.493801652892,1192.46,0.26793880705038303
30,31,7355.105371900827,1411.95,0.1919686977421373
31,32,3390.7032710280373,1726.79,0.5092719303262563
32,33,3051.404958677686,514.31,0.16854858891717672
33,34,10204.878099173553,2527.14,0.24764039074652558
34,35,12342.952479338843,1967.41,0.15939541234508467
35,36,7899.978971962617,1680.46,0.21271702190145425
36,37,6529.923553719008,1255.13,0.19221205113269083
37,38,5108.024793388429,1201.31,0.23518092581596614
38,39,4591.198347107438,1567.62,0.3414402692899637
39,40,4505.020661157025,1448.97,0.32163448494104374
40,41,6755.52570093458,1796.88,0.265986701782722
41,42,9367.059917355371,2063.36,0.22027829630693282
42,43,6392.880165289256,1129.03,0.17660740868101588
43,44,4692.109504132231,1286.05,0.27408780610670014
44,45,6724.111570247934,2028.76,0.3017142084579056
45,46,1950.892523364486,743.42,0.3810666098191338
46,47,8926.623966942148,1170.95,0.13117501132974393
47,48,3633.2334710743803,1770.42,0.48728495267232874
48,49,6753.126033057852,1125.7,0.16669317209385429
49,50,3966.3305785123966,2033.04,0.5125745219054604
50,51,8443.016355140187,1525.12,0.18063686434428053
51,52,9078.740654205607,1348.45,0.1485283093063517
52,53,4438.623966942148,1640.44,0.3695830086571019
53,54,7398.966942148761,1548.07,0.209227857362263
54,55,4168.537190082645,1927.22,0.46232525035042116
55,56,2653.818181818182,529.59,0.19955775554946562
56,57,13203.165289256198,2261.78,0.17130589146229025
57,58,8070.679906542056,1284.92,0.15920839568404266
58,59,6882.31611570248,2047.02,0.2974318478817883
59,60,9998.179752066115,2742.7,0.27431993302913193
60,61,5807.270661157025,1540.9,0.2653397938392276
